loggin | 2021-08-03 10:44:52,295 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:44:52,295 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:44:52,303 | ERROR | Error inserting
loggin | 2021-08-03 10:44:52,303 | ERROR | Error inserting
loggin | 2021-08-03 10:44:52,306 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:44:52,306 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:44:54,035 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:44:54,035 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:44:54,048 | ERROR | Error inserting
loggin | 2021-08-03 10:44:54,048 | ERROR | Error inserting
loggin | 2021-08-03 10:44:54,054 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:44:54,054 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:46:15,033 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:15,033 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:15,044 | ERROR | Error inserting
loggin | 2021-08-03 10:46:15,044 | ERROR | Error inserting
loggin | 2021-08-03 10:46:15,052 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:46:15,052 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:46:18,515 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:18,515 | ERROR | Mongo Connection error None of DNS query names exist: _mongodb._tcp.api.2hdzl.mongodb.net., _mongodb._tcp.api.2hdzl.mongodb.net.
loggin | 2021-08-03 10:46:18,531 | ERROR | Error inserting
loggin | 2021-08-03 10:46:18,531 | ERROR | Error inserting
loggin | 2021-08-03 10:46:18,539 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
loggin | 2021-08-03 10:46:18,539 | ERROR | Error inserting 'ConfigurationError' object is not subscriptable
